timeStamp,Year,Day,Hour,B,BX_GSE_GSM,BY_GSE,BZ_GSE,BZ_GSM,Speed,Vy,Vz,Proton_Density,Proton_Temperature,Flow_Pressure,Electric_Field,s_c_X_GSE,s_c_Y_GSE,s_c_Z_GSE,BSN_location_X_GSE,BSN_location_Z_GSE,Dst
2024-04-18 18:00:00,2024.0,109.0,18.0,4.334666666666666,1.7481666666666666,-1.9113333333333336,3.2815,2.1805000000000003,326.50916666666666,-8.599166666666667,10.690833333333334,6.4405,57736.208333333336,1.373,-0.7130833333333333,199.75991666666667,53.7295,-8.8385,14.1745,-0.4821666666666667,0.0
2024-04-18 19:00:00,2024.0,109.0,19.0,4.282333333333333,1.1546666666666667,-1.2563333333333333,3.7239166666666663,2.7535000000000003,327.72666666666663,-2.1641666666666666,13.663333333333332,6.26275,53540.10833333333,1.3470833333333334,-0.8948333333333333,199.76675000000003,53.82066666666666,-8.83325,14.2095,-0.56875,0.0
2024-04-18 20:00:00,2024.0,109.0,20.0,4.340583333333333,0.2921666666666667,-0.59625,4.037833333333333,3.264083333333333,332.63,-1.0308333333333333,13.0525,6.0360000000000005,52990.825,1.3365,-1.0885833333333332,199.77383333333333,53.95033333333333,-8.823749999999999,14.216333333333331,-0.5534166666666667,1.0
2024-04-18 21:00:00,2024.0,109.0,21.0,6.170166666666666,1.00825,0.1030833333333333,3.5548333333333333,3.1434166666666665,341.96083333333337,-8.704166666666667,1.9491666666666667,8.354666666666667,66492.41666666667,1.963666666666667,-1.09775,199.7844166666667,54.1115,-8.811333333333334,13.388666666666667,-0.13325,2.0
2024-04-18 22:00:00,2024.0,109.0,22.0,6.751,-0.3666666666666666,-3.0536666666666665,4.4505,2.3236666666666665,353.22,-26.449166666666667,1.0333333333333332,9.992416666666664,64994.475,2.4931666666666668,-0.7917500000000001,199.79333333333332,54.23800000000001,-8.801416666666666,12.998833333333332,-0.0756666666666666,8.0
2024-04-18 23:00:00,2024.0,109.0,23.0,6.405166666666667,2.85675,-2.8229166666666665,4.2645,2.292333333333333,337.5516666666666,-27.0175,5.461,9.743683333333331,68257.61666666667,2.2233500000000004,-0.7659166666666667,199.80233333333337,54.40083333333334,-8.790833333333332,13.340416666666666,-0.2249166666666666,9.0
2024-04-19 00:00:00,2024.0,110.0,0.0,6.151166666666667,0.5785,-2.9015,3.710166666666667,1.8321666666666667,344.495,-25.085,5.2365,10.23515,71939.79166666667,2.4371500000000004,-0.6181666666666668,199.81216666666663,54.52733333333333,-8.779083333333334,13.077166666666669,-0.2083333333333333,10.0
2024-04-19 01:00:00,2024.0,110.0,1.0,5.736000000000001,-0.6120000000000001,-2.1425,1.3925000000000003,0.2466666666666666,345.1041666666667,-18.6225,0.1674999999999996,10.7415,74376.075,2.570583333333333,-0.1413333333333333,199.82266666666663,54.66525,-8.7715,12.813833333333331,-0.101,7.0
2024-04-19 02:00:00,2024.0,110.0,2.0,5.377166666666667,2.044833333333333,-3.007166666666667,3.5786666666666664,1.9066666666666667,329.25416666666666,-19.539166666666667,13.74,10.435333333333334,71171.3,2.2624166666666667,-0.6463333333333333,199.83,54.76741666666667,-8.763,13.223166666666666,-0.5423333333333333,3.0
2024-04-19 03:00:00,2024.0,110.0,3.0,5.221,1.2756666666666667,-3.9551666666666665,0.3128333333333333,-1.32225,328.4291666666667,-25.4125,-1.5166666666666666,9.736833333333331,65323.89166666667,2.1009166666666665,0.4106666666666667,199.83541666666667,54.874,-8.753416666666668,13.18,0.0479166666666666,3.0
