Year,Day,Hour,Minute,Timeshift,Timeshift_rms,B,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Speed,Vx,Vy,Vz,Proton_Density,Proton_Temperature,Flow_Pressure,Electric_Field,s_c_X_GSE,s_c_Y_GSE,s_c_Z_GSE,BSN_location_X_GSE,BSN_location_Y_GSE,BSN_location_Z_GSE,Dst
2024.0,1.0,1.0,29.5,2024.0,2024.0,5.413620689655173,4.190344827586207,-2.3951724137931034,-2.111551724137931,-1.8789655172413795,-2.579482758620689,303.1469387755102,-302.71632653061226,-11.13061224489796,10.326530612244898,7.125714285714286,30338.79591836735,1.3118367346938775,0.7883673469387755,255.9161224489796,23.49448979591837,12.846122448979592,13.862413793103448,-0.8418965517241379,-0.4743103448275862,2.0
2024.0,1.0,2.0,29.5,2024.0,2024.0,4.6172881355932205,2.804576271186441,-2.3430508474576275,-2.0947457627118644,-1.9122033898305084,-2.4840677966101694,305.832,-305.362,-8.35,12.964,7.4946,36577.8,1.4056,0.807,255.9418,23.3176,12.85,13.709322033898305,-0.9608474576271188,-0.5976271186440678,4.0
2024.0,1.0,3.0,29.5,2024.0,2024.0,4.138813559322034,3.133220338983051,-1.8971186440677967,-1.244406779661017,-1.6879661016949152,-1.4983050847457628,306.7086956521739,-306.4086956521739,-4.5,12.252173913043478,8.695869565217391,36331.67391304348,1.6347826086956525,0.5202173913043479,255.96239130434785,23.18304347826087,12.85,13.447627118644068,-1.1020338983050846,-0.532542372881356,5.0
2024.0,1.0,4.0,29.5,2024.0,2024.0,4.2334,3.4026,-1.9706,-0.5065999999999999,-1.929,-0.6978,305.46829268292686,-305.25365853658536,-4.846341463414634,9.682926829268292,9.15609756097561,39524.48780487805,1.708292682926829,0.32825,255.97146341463412,23.04219512195122,12.85,13.495,-1.1048,-0.4548,3.0
2024.0,1.0,5.0,29.5,2024.0,2024.0,4.350172413793104,1.8986206896551725,0.1436206896551724,-2.6851724137931035,0.2631034482758621,-2.6779310344827585,308.95384615384614,-308.875,1.6519230769230768,2.7403846153846154,8.819807692307693,30913.73076923077,1.6967307692307694,0.8319230769230769,256.0023076923077,22.83076923076923,12.853846153846153,13.199827586206895,-1.333793103448276,-0.1093103448275862,2.0
2024.0,1.0,6.0,29.5,2024.0,2024.0,4.332833333333334,-2.2976666666666667,0.0136666666666666,-3.4735,0.0203333333333333,-3.4735,327.81176470588235,-327.75882352941176,2.511764705882353,1.0745098039215686,11.57372549019608,27999.960784313724,2.4923529411764704,1.1266666666666667,256.0290196078431,22.65058823529412,12.86,12.276166666666663,-1.1913333333333334,-0.0281666666666666,3.0
2024.0,1.0,7.0,29.5,2024.0,2024.0,4.429833333333334,-3.068,0.1603333333333333,-3.109,0.0363333333333333,-3.117833333333333,329.92765957446807,-329.8723404255319,-0.2638297872340425,5.638297872340425,12.584468085106383,26725.191489361703,2.7448936170212765,1.017659574468085,256.05063829787235,22.505106382978724,12.860638297872338,12.179666666666666,-1.0996666666666668,-0.2303333333333333,2.0
2024.0,1.0,8.0,29.5,2024.0,2024.0,4.59,-2.7398245614035086,-0.0291228070175438,-3.6080701754385966,-0.2756140350877192,-3.5959649122807016,328.93555555555554,-328.88222222222225,0.3111111111111111,4.142222222222222,14.356666666666666,21892.044444444444,3.106888888888889,1.1720454545454546,256.07111111111107,22.365333333333336,12.868888888888886,11.86017543859649,-1.078421052631579,-0.1656140350877193,1.0
2024.0,1.0,9.0,29.5,2024.0,2024.0,4.957241379310345,-2.162413793103448,-1.289655172413793,-3.984137931034483,-1.6370689655172417,-3.8517241379310345,330.42826086956524,-330.3369565217391,-2.217391304347826,4.271739130434782,16.010652173913044,25639.82608695652,3.496521739130435,1.2904444444444445,256.09521739130435,22.207391304347823,12.87,11.625344827586206,-0.9746551724137932,-0.1551724137931034,3.0
2024.0,1.0,10.0,29.5,2024.0,2024.0,5.877166666666667,-1.531,-3.3246666666666664,-4.126833333333333,-3.703,-3.791333333333333,331.2440677966102,-330.9830508474576,-12.26101694915254,2.693220338983051,16.733050847457626,30148.42372881356,3.672203389830509,1.2467796610169493,256.1191525423729,22.051186440677967,12.876779661016949,11.554833333333333,-0.6078333333333333,-0.0911666666666666,2.0
